seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	GENENAME
chr13	27965976	27966316	341	*	.	1000	.	215.42669	-1	3.73981	175	Distal Intergenic	13	27998681	28009846	11166	1	2971	uc001ure.2	-32365	GTF3A
chr10	21282136	21282340	205	*	.	1000	.	212.94937	-1	3.73981	102	Intron (uc001iqk.3/10529, intron 3 of 6)	10	21068903	21186531	117629	2	10529	uc001iqj.3	-95605	NEBL
chr10	21282136	21282340	205	*	.	1000	.	212.94937	-1	3.73981	102	Intron (uc001iqk.3/10529, intron 3 of 6)	10	21068903	21186531	117629	2	10529	uc001iqj.3	-95605	LRG_411
chr11	100978560	100978737	178	*	.	1000	.	210.06284	-1	3.73981	93	Intron (uc031qdi.1/5241, intron 2 of 7)	11	100999808	101030001	30194	1	101054525	uc031qdj.1	-21071	NA
chr1	63330716	63330913	198	*	.	1000	.	209.48611	-1	3.73981	84	3' UTR	1	63249777	63330941	81165	1	84938	uc001dau.3	80939	ATG4C
chr7	41059535	41059755	221	*	.	1000	.	208.43994	-1	3.73981	106	Distal Intergenic	7	40833056	40900366	67311	1	79783	uc003thp.2	226479	SUGCT
chr12	67519978	67520198	221	*	.	1000	.	203.38938	-1	3.73981	109	Distal Intergenic	12	67663061	67708388	45328	1	55832	uc001stn.2	-142863	CAND1
chr1	214316679	214316862	184	*	.	1000	.	202.6698	-1	3.73981	89	Distal Intergenic	1	214454565	214504413	49849	1	56950	uc021piw.1	-137703	SMYD2
chr9	84708514	84708705	192	*	.	1000	.	201.97319	-1	3.73981	92	Distal Intergenic	9	84603687	84610171	6485	1	389763	uc004amn.3	104827	SPATA31D1
chrX	129091199	129091402	204	*	.	1000	.	201.47652	-1	3.73981	103	Distal Intergenic	23	129054651	129057039	2389	1	10813	uc004eva.1	36548	UTP14A
chr6	147439211	147439457	247	*	.	1000	.	200.4801	-1	3.73981	116	Intron (uc003qlt.2/729178, intron 4 of 10)	6	147182942	147453122	270181	2	729178	uc003qlv.3	13665	STXBP5-AS1
chr4	28682949	28683151	203	*	.	1000	.	200.44159	-1	3.73981	113	Distal Intergenic	4	28821204	28821290	87	1	100422937	uc021xnb.1	-138053	NA
chr7	84228624	84228795	172	*	.	1000	.	200.05606	-1	3.73981	90	Distal Intergenic	7	83587659	83824217	236559	2	10371	uc003uhz.3	-404407	SEMA3A
chr1	26725008	26725209	202	*	.	1000	.	199.38275	-1	3.73981	104	Distal Intergenic	1	26737269	26756210	18942	1	79727	uc001bmi.1	-12060	LIN28A
chr1	26725008	26725209	202	*	.	1000	.	199.38275	-1	3.73981	104	Distal Intergenic	1	26737269	26756210	18942	1	79727	uc001bmi.1	-12060	LIN28AP1
chr10	90319660	90319870	211	*	.	1000	.	198.99024	-1	3.73981	91	Intron (uc010qms.1/55328, intron 2 of 5)	10	90043859	90305279	261421	2	55328	uc009xtj.3	-14381	RNLS
chr7	46534949	46535149	201	*	.	1000	.	198.3117	-1	3.73981	98	Distal Intergenic	7	45951844	45960871	9028	2	3486	uc003tnt.3	-574078	IGFBP3
chr1	43660487	43660701	215	*	.	1000	.	196.8865	-1	3.73981	107	Intron (uc010ojz.2/149465, intron 7 of 12)	1	43629845	43638241	8397	2	10969	uc010ojx.2	-22246	EBNA1BP2
chr4	56907442	56907666	225	*	.	1000	.	196.45319	-1	3.73981	116	Distal Intergenic	4	56831032	56899529	68498	1	9662	uc003hbj.4	76410	CEP135
chr7	98362675	98362852	178	*	.	1000	.	195.94686	-1	3.73981	92	Distal Intergenic	7	98444111	98466917	22807	2	222865	uc011kiq.2	104065	TMEM130
chr8	69977353	69977622	270	*	.	1000	.	194.45266	-1	3.73981	143	Intron (uc003xyc.1/100505718, intron 2 of 4)	8	69824038	70016425	192388	2	100505718	uc003xyc.1	38803	RP11-600K15.1
chr6	92848114	92848294	181	*	.	1000	.	193.72806	-1	3.73981	97	Distal Intergenic	6	92231378	92231455	78	1	100616174	uc021zcv.1	616736	MIR4643
chr4	110411796	110411983	188	*	.	1000	.	193.22236	-1	3.73981	90	Intron (uc003hzk.3/10427, intron 4 of 23)	4	110351119	110354973	3855	2	100533182	uc003hzj.4	-56823	SEC24B-AS1
chrX	150902537	150902733	197	*	.	1000	.	190.71601	-1	3.73981	104	Promoter	23	150903218	150914036	10819	1	1260	uc004fey.1	-485	CNGA2
chr2	224027092	224027293	202	*	.	1000	.	189.27298	-1	3.73981	98	Distal Intergenic	2	223916648	223920357	3710	1	23704	uc002vnl.5	110444	KCNE4
chr15	77739693	77739880	188	*	.	1000	.	189.05417	-1	3.73981	94	Intron (uc002bcq.1/10363, intron 1 of 2)	15	77713243	77777945	64703	1	10363	uc002bcs.3	26450	HMG20A
chr13	72527337	72527550	214	*	.	1000	.	188.55042	-1	3.73981	113	Distal Intergenic	13	72012098	72441330	429233	2	1602	uc021rkl.1	-86007	DACH1
chr15	64430349	64430538	190	*	.	1000	.	188.19237	-1	3.73981	87	3' UTR	15	64443916	64447087	3172	1	79856	uc002amz.1	-13378	SNX22
chr5	62043695	62043877	183	*	.	1000	.	188.02193	-1	3.73981	83	Distal Intergenic	5	61874562	61924416	49855	1	101180901	uc003jte.3	169133	NA
chr4	153790244	153790517	274	*	.	1000	.	187.52519	-1	3.73981	136	Intron (uc003imz.3/27236, intron 3 of 8)	4	153864135	153900848	36714	1	85462	uc003inf.2	-73618	FHDC1
chr12	62653789	62653979	191	*	.	1000	.	187.3853	-1	3.73981	104	Promoter	12	62102029	62653925	551897	2	338811	uc001sqy.3	0	FAM19A2
chr20	10637635	10637826	192	*	.	1000	.	186.97468	-1	3.73981	106	Intron (uc002wnw.2/182, intron 4 of 25)	20	10622108	10632062	9955	2	182	uc010gcd.1	-5573	JAG1
chr11	113629094	113629305	212	*	.	1000	.	186.70359	-1	3.73981	101	Exon (uc001poe.3/9183, exon 6 of 16)	11	113603905	113644485	40581	2	9183	uc001poe.3	15180	ZW10
chr11	30546441	30546631	191	*	.	1000	.	186.40984	-1	3.73981	98	Intron (uc001msq.3/744, intron 3 of 6)	11	30431618	30602041	170424	2	744	uc001msr.3	55410	MPPED2
chr15	32899329	32899581	253	*	.	1000	.	183.43495	-1	3.73981	125	Distal Intergenic	15	32907345	32931868	24524	1	9824	uc010ubw.1	-7764	ARHGAP11A
chr9	116286353	116286586	234	*	.	1000	.	182.46124	-1	3.73981	119	Intron (uc004bhq.4/5998, intron 18 of 25)	9	116298757	116360023	61267	1	5998	uc004bhv.4	-12171	RGS3
chr7	69232739	69233019	281	*	.	1000	.	182.00253	-1	3.73981	122	Intron (uc003tvv.4/26053, intron 1 of 4)	7	69063905	70257885	1193981	1	26053	uc003tvx.4	168834	AUTS2
chr9	674209	674382	174	*	.	1000	.	181.7714	-1	3.73981	101	Intron (uc003zgl.2/23189, intron 5 of 15)	9	684194	713464	29271	1	23189	uc003zgq.2	-9812	KANK1
chr17	71032820	71033133	314	*	.	1000	.	181.17781	-1	3.73981	134	Intron (uc002jja.3/201266, intron 3 of 9)	17	70642085	71088853	446769	2	201266	uc002jja.3	55720	SLC39A11
chr5	87787733	87788014	282	*	.	1000	.	180.85654	-1	3.73981	168	Distal Intergenic	5	87962671	87962757	87	2	407047	uc021ybf.1	174743	LINC00461
chr18	47561364	47561535	172	*	.	1000	.	180.42645	-1	3.73981	92	Intron (uc002leb.2/4645, intron 4 of 39)	18	47463615	47623988	160374	2	4645	uc021ukb.1	62453	MYO5B
chr6	111254509	111254695	187	*	.	1000	.	178.64129	-1	3.73981	97	Distal Intergenic	6	111279763	111289091	9329	1	112495	uc003pum.3	-25068	GTF3C6
chr7	96143706	96143910	205	*	.	1000	.	177.99846	-1	3.73981	105	Distal Intergenic	7	96110938	96132835	21898	2	401388	uc011kil.1	-10871	C7orf76
chr6	5438978	5439172	195	*	.	1000	.	176.67171	-1	3.73981	81	Intron (uc010jnv.1/10667, intron 4 of 6)	6	5261584	5771816	510233	1	10667	uc003mwr.2	177394	FARS2
chr6	14273351	14273533	183	*	.	1000	.	176.55541	-1	3.73981	84	Distal Intergenic	6	14117865	14137148	19284	1	9308	uc003nbi.3	155486	CD83
chr10	49690319	49690490	172	*	.	1000	.	176.09504	-1	3.73981	73	Intron (uc001jgs.4/58504, intron 1 of 7)	10	49654068	49701692	47625	2	58504	uc001jgs.4	11202	ARHGAP22
chr2	221468423	221468596	174	*	.	1000	.	175.91522	-1	3.73981	92	Distal Intergenic	2	220771223	220771286	64	2	100422959	uc021vxd.1	-697137	MIR4268
chr10	2964298	2964475	178	*	.	1000	.	175.36522	-1	3.73981	79	Distal Intergenic	10	3109712	3178997	69286	1	5214	uc001igp.3	-145237	PFKP
chr6	156852898	156853074	177	*	.	1000	.	175.15012	-1	3.73981	89	Distal Intergenic	6	157099064	157531913	432850	1	57492	uc003qqn.3	-245990	ARID1B
chr6	73349432	73349666	235	*	.	1000	.	175.09293	-1	3.73981	100	Intron (uc003pgj.4/56479, intron 1 of 8)	6	73331571	73908573	577003	1	56479	uc011dyk.2	17861	KCNQ5
chr3	4432288	4432479	192	*	.	1000	.	174.48138	-1	3.73981	89	Intron (uc003bps.2/285362, intron 7 of 12)	3	3823036	4508966	685931	2	285362	uc003bps.2	76487	SUMF1
chr15	59354000	59354211	212	*	.	1000	.	173.35845	-1	3.73981	117	Intron (uc002afs.4/54778, intron 5 of 13)	15	59358963	59389618	30656	1	54778	uc002afx.4	-4752	RNF111
chr8	127810298	127810513	216	*	.	1000	.	173.04705	-1	3.73981	104	Distal Intergenic	8	128025399	128033259	7861	1	100750225	uc022bbd.1	-214886	PCAT1
chr1	170146061	170146235	175	*	.	1000	.	172.95759	-1	3.73981	77	Distal Intergenic	1	170120519	170120603	85	2	100422839	uc021per.1	-25458	MIR3119-1
chr2	84959882	84960069	188	*	.	1000	.	172.93339	-1	3.73981	101	Intron (uc010fgb.3/1768, intron 61 of 76)	2	84945285	85024920	79636	1	1768	uc002sot.3	14597	DNAH6
chr6	145531139	145531320	182	*	.	1000	.	171.62731	-1	3.73981	85	Distal Intergenic	6	145946440	145992467	46028	2	7957	uc003qku.3	461147	EPM2A
chr1	74245261	74245448	188	*	.	1000	.	171.58847	-1	3.73981	91	Distal Intergenic	1	74491702	74663871	172170	2	127255	uc001dfy.4	418423	LRRIQ3
chr3	195806509	195806715	207	*	.	1000	.	171.2324	-1	3.73981	104	Intron (uc003fvz.4/7037, intron 1 of 18)	3	195776155	195808961	32807	2	7037	uc003fvz.4	2246	TFRC
chr5	84480959	84481156	198	*	.	1000	.	170.89819	-1	3.73981	95	Distal Intergenic	5	83238126	83680611	442486	2	10085	uc003kip.1	-800348	EDIL3
chr7	24427112	24427310	199	*	.	1000	.	168.38753	-1	3.73981	97	Distal Intergenic	7	24323807	24331484	7678	1	4852	uc003sww.2	103305	NPY
chr16	23787102	23787271	170	*	.	1000	.	168.1314	-1	3.73981	82	Distal Intergenic	16	23765948	23770256	4309	1	63928	uc002dmb.1	21154	CHP2
chrX	69264196	69264424	229	*	.	1000	.	167.98137	-1	3.73981	126	Exon (uc004dxt.1/158835, exon 2 of 8)	23	69260392	69269788	9397	2	158835	uc004dxt.1	5364	AWAT2
chr14	78985825	78985991	167	*	.	1000	.	166.33338	-1	3.73981	83	Intron (uc001xum.2/9369, intron 4 of 20)	14	79081275	79454642	373368	1	9369	uc010asv.1	-95284	NRXN3
chr8	9264320	9264533	214	*	.	1000	.	164.33971	-1	3.73981	120	Distal Intergenic	8	9182561	9192590	10030	1	157273	uc003wsq.1	81759	RP11-115J16.1
chr1	160169577	160169760	184	*	.	1000	.	164.20662	-1	3.73981	85	Exon (uc010pja.2/844, exon 10 of 11)	1	160175125	160185162	10038	1	8682	uc001fvk.3	-5365	PEA15
chr13	51243902	51244083	182	*	.	1000	.	164.13811	-1	3.73981	106	Distal Intergenic	13	51381991	51424041	42051	1	100874074	uc001vey.3	-137908	DLEU7-AS1
chr1	84479133	84479321	189	*	.	1000	.	163.94879	-1	3.73981	87	Distal Intergenic	1	84335381	84464833	129453	2	79739	uc001djg.3	-14300	TTLL7
chr10	117159499	117159700	202	*	.	1000	.	163.7954	-1	3.73981	110	Intron (uc001lcg.3/26033, intron 20 of 28)	10	117061365	117708496	647132	1	26033	uc010qsn.2	98134	ATRNL1
chr3	174232687	174232956	270	*	.	1000	.	163.27855	-1	3.73981	117	Intron (uc003fiq.1/uc003fiq.1, intron 1 of 1)	3	174577111	175523428	946318	1	254827	uc003fit.3	-344155	NAALADL2
chr2	36270871	36271016	146	*	.	1000	.	163.10076	-1	3.73981	62	Distal Intergenic	2	36581892	36582713	822	2	100288911	uc021vfw.1	311697	NA
chr4	184167733	184167917	185	*	.	1000	.	162.45639	-1	3.73981	92	Intron (uc010irx.3/80014, intron 6 of 22)	4	184180792	184241929	61138	1	80014	uc003ivn.4	-12875	WWC2
chr1	32438248	32438446	199	*	.	1000	.	161.39875	-1	3.73981	87	Distal Intergenic	1	32372022	32403988	31967	2	8073	uc001bty.2	-34260	PTP4A2
chrX	132671495	132671675	181	*	.	1000	.	161.32578	-1	3.73981	94	Intron (uc004exe.2/2719, intron 7 of 7)	23	132435064	132549205	114142	2	2239	uc004exc.1	-122290	GPC4
chr9	81596203	81596406	204	*	.	1000	.	161.32176	-1	3.73981	101	Distal Intergenic	9	82186878	82341656	154779	1	7091	uc004alc.3	-590472	TLE4
chr18	28287249	28287407	159	*	.	1000	.	157.74506	-1	3.73981	77	Distal Intergenic	18	28570052	28622781	52730	2	1825	uc002kwi.4	335374	DSC3
chr4	52873955	52874153	199	*	.	1000	.	157.15687	-1	3.73981	105	Intron (uc003gzi.3/339977, intron 1 of 3)	4	52859866	52883786	23921	2	339977	uc003gzi.3	9633	LRRC66
chr6	97592090	97592240	151	*	.	1000	.	156.72174	-1	3.73981	98	3' UTR	6	97458076	97588630	130555	1	114792	uc003ppa.2	134014	KLHL32
chr5	156914193	156914381	189	*	.	1000	.	156.67689	-1	3.73981	97	Intron (uc003lww.3/8728, intron 21 of 22)	5	156904312	156929988	25677	2	8728	uc003lwy.3	15607	ADAM19
chr3	86175642	86175802	161	*	.	1000	.	156.10069	-1	3.73981	87	Distal Intergenic	3	85849137	85877200	28064	2	100874037	uc031saq.1	-298442	CADM2-AS2
chr3	169002774	169002965	192	*	.	1000	.	155.81633	-1	3.73981	100	Intron (uc003ffl.2/2122, intron 1 of 14)	3	168801287	169099312	298026	2	2122	uc003ffl.2	96347	MECOM
chr1	50700277	50700476	200	*	.	1000	.	155.13367	-1	3.73981	102	Distal Intergenic	1	50575479	50667540	92062	1	1996	uc010omz.2	124798	ELAVL4
chr12	121889146	121889305	160	*	.	1000	.	155.04663	-1	3.73981	86	Intron (uc001uaq.3/84678, intron 2 of 12)	12	121866900	121882084	15185	2	84678	uc010szx.2	-7062	KDM2B
chr19	41931377	41931555	179	*	.	1000	.	154.68711	-1	3.73981	95	3' UTR	19	41931264	41934635	3372	2	374907	uc002oqs.3	3080	B3GNT8
chr17	27915784	27915972	189	*	.	1000	.	154.07968	-1	3.73981	98	Promoter	17	27900487	27916610	16124	2	28964	uc002hef.2	638	GIT1
chr1	5225727	5225907	181	*	.	1000	.	153.5239	-1	3.73981	99	Distal Intergenic	1	5624131	5624203	73	1	100616489	uc021ofm.1	-398224	MIR4417
chr10	90925658	90925905	248	*	.	1000	.	152.96674	-1	3.73981	131	Distal Intergenic	10	90965694	90967071	1378	2	9023	uc001kfz.3	41166	CH25H
chr5	166166165	166166323	159	*	.	1000	.	152.87487	-1	3.73981	84	Distal Intergenic	5	166711843	167420187	708345	1	57451	uc021yhi.1	-545520	TENM2
chr3	68632268	68632450	183	*	.	1000	.	152.73551	-1	3.73981	98	Distal Intergenic	3	68780915	68981761	200847	2	151647	uc021xag.1	349311	FAM19A4
chr13	84654909	84655177	269	*	.	1000	.	152.34394	-1	3.73981	118	Distal Intergenic	13	84714737	85180903	466167	1	100874128	uc031qmn.1	-59560	LINC00333
chr7	31466107	31466274	168	*	.	1000	.	151.91536	-1	3.73981	102	Distal Intergenic	7	31377075	31380538	3464	2	63974	uc003tch.4	-85569	NEUROD6
chr2	217270255	217270424	170	*	.	1000	.	151.49314	-1	3.73981	90	Distal Intergenic	2	217277137	217347774	70638	1	50485	uc002vgc.4	-6713	SMARCAL1
chr2	217270255	217270424	170	*	.	1000	.	151.49314	-1	3.73981	90	Distal Intergenic	2	217277137	217347774	70638	1	50485	uc002vgc.4	-6713	LRG_108
chr12	42484338	42484498	161	*	.	1000	.	150.67519	-1	3.73981	80	Intron (uc001rms.4/283464, intron 7 of 7)	12	42475648	42538673	63026	2	283464	uc001rms.4	54175	GXYLT1
chr4	87679956	87680125	170	*	.	1000	.	150.07247	-1	3.73981	77	Exon (uc003hpy.3/5783, exon 23 of 48)	4	87689667	87726522	36856	1	5783	uc003hqc.1	-9542	PTPN13
chr4	150367426	150367570	145	*	.	1000	.	150.03497	-1	3.73981	77	Intron (uc003ill.3/uc003ill.3, intron 15 of 16)	4	150999426	151178608	179183	1	166614	uc003ilm.4	-631856	DCLK2
chr17	43483882	43484062	181	*	.	1000	.	150.0004	-1	3.73981	88	Promoter	17	43471268	43483449	12182	2	201176	uc010dak.3	-433	ARHGAP27
chr17	43483882	43484062	181	*	.	1000	.	150.0004	-1	3.73981	88	Promoter	17	43471268	43483449	12182	2	201176	uc010dak.3	-433	AC003070.1
chr8	25675490	25675667	178	*	.	1000	.	149.93679	-1	3.73981	95	Intron (uc003xek.3/5520, intron 7 of 10)	8	25699246	25745488	46243	2	64641	uc010lug.2	69821	EBF2
chr1	24286836	24287014	179	*	.	1000	.	149.83459	-1	3.73981	92	Promoter	1	24286301	24289949	3649	1	55629	uc001big.3	535	PNRC2
chr14	64715597	64715781	185	*	.	1000	.	149.66562	-1	3.73981	90	Intron (uc001xgy.2/2100, intron 6 of 7)	14	64701688	64727466	25779	2	2100	uc010aqd.1	11685	ESR2
chr7	153430975	153431203	229	*	.	1000	.	149.26709	-1	3.73981	111	Distal Intergenic	7	153584419	154685995	1101577	1	1804	uc003wli.3	-153216	DPP6
chr9	86410394	86410559	166	*	.	1000	.	149.09566	-1	3.73981	80	Intron (uc004amy.3/80318, intron 4 of 12)	9	86354336	86432752	78417	2	80318	uc004amy.3	22193	GKAP1
chr11	30025542	30025713	172	*	.	1000	.	148.96631	-1	3.73981	65	Distal Intergenic	11	30031288	30038577	7290	2	3739	uc001msk.3	12864	KCNA4
chr17	62705918	62706090	173	*	.	1000	.	147.59616	-1	3.73981	79	Distal Intergenic	17	62540735	62658386	117652	2	64750	uc002jer.1	-47532	SMURF2
chr1	17470155	17470332	178	*	.	1000	.	147.38507	-1	3.73981	90	Distal Intergenic	1	17405526	17445948	40423	2	11240	uc001bag.1	-24207	PADI2
chr10	53022662	53022807	146	*	.	1000	.	147.32696	-1	3.73981	55	Intron (uc010qhp.2/5592, intron 2 of 2)	10	53059333	53059415	83	1	693190	uc021pqt.1	-36526	MIR605
chr7	121938538	121938747	210	*	.	1000	.	146.66307	-1	3.73981	101	Downstream (2-3kb)	7	121943712	121950131	6420	1	154860	uc010lko.2	-4965	FEZF1-AS1
chr2	183678982	183679154	173	*	.	1000	.	146.52514	-1	3.73981	96	Distal Intergenic	2	183698005	183731498	33494	2	2487	uc002upa.2	52344	FRZB
chr2	75870258	75870454	197	*	.	1000	.	146.13547	-1	3.73981	102	Distal Intergenic	2	75873909	75889334	15426	1	9801	uc002snl.3	-3455	MRPL19
chr1	2529178	2529357	180	*	.	1000	.	146.07177	-1	3.73981	94	Intron (uc009vlg.1/79258, intron 12 of 22)	1	2518517	2522908	4392	1	127281	uc001ajx.2	10661	FAM213B
chr5	130167091	130167283	193	*	.	1000	.	145.98325	-1	3.73981	110	Distal Intergenic	5	130494976	130501041	6066	2	3094	uc003kve.4	333758	HINT1
chr6	6725316	6725467	152	*	.	1000	.	145.90039	-1	3.73981	64	Exon (uc003mxa.3/uc003mxa.3, exon 1 of 2)	6	6649848	6655216	5369	1	9450	uc003mwz.1	75468	LY86
chr12	115508002	115508172	171	*	.	1000	.	145.21229	-1	3.73981	95	Distal Intergenic	12	115117761	115121969	4209	2	6926	uc010syw.1	-386033	TBX3
chr14	56805865	56806059	195	*	.	1000	.	144.78272	-1	3.73981	87	Distal Intergenic	14	56585093	56768031	182939	1	57161	uc001xch.3	220772	PELI2
chr5	88664617	88664881	265	*	.	1000	.	144.32184	-1	3.73981	137	Distal Intergenic	5	88014058	88199922	185865	2	4208	uc003kjm.3	-464695	MEF2C
chr20	53768495	53768653	159	*	.	1000	.	142.72959	-1	3.73981	81	Distal Intergenic	20	53092266	53267710	175445	1	55816	uc002xwy.3	676229	DOK5
chr11	116445850	116446061	212	*	.	1000	.	142.54885	-1	3.73981	113	Distal Intergenic	11	116618886	116643714	24829	2	84811	uc001ppn.3	197653	BUD13
chr3	57200047	57200212	166	*	.	1000	.	141.73199	-1	3.73981	90	Promoter	3	57124010	57199403	75394	2	54756	uc003dil.3	-644	IL17RD
chr12	39452078	39452243	166	*	.	1000	.	141.64036	-1	3.73981	86	Distal Intergenic	12	39046002	39299420	253419	2	144402	uc001rls.1	-152658	CPNE8
chr3	190041529	190041668	140	*	.	1000	.	140.9986	-1	3.73981	54	Distal Intergenic	3	190023490	190040235	16746	2	9076	uc003fsh.3	-1294	CLDN1
chr12	112590453	112590619	167	*	.	1000	.	140.90113	-1	3.73981	78	3' UTR	12	112563349	112591408	28060	1	10906	uc001ttp.3	27104	TRAFD1
chr5	11386087	11386258	172	*	.	1000	.	139.40568	-1	3.73981	62	Promoter	5	10971952	11385341	413390	2	1501	uc011cmx.1	-746	CTNND2
